T,M,Time
1,1,0.434899
1,10,15.923226
1,20,29.954812
1,30,43.785154
1,40,49.910276
1,50,60.122568
1,100,60.127078
10,1,0.220132
10,10,2.097406
10,20,3.768116
10,30,5.445502
10,40,6.078043
10,50,7.543534
10,100,7.545728
20,1,0.221955
20,10,1.296734
20,20,2.153174
20,30,3.023887
20,40,3.464359
20,50,4.311419
20,100,4.250951
